l1,l2Code,l2Name,l3Code,l3Name,l4Code,l4Name,channels
인입,ent_need,니즈 발생,ent_need_ad,광고/캠페인 노출,ent_need_ad_01,캠페인 메일 수신,ALL
,,,,,ent_need_ad_02,APP PUSH 알림 수신,ALL
,,,,,ent_need_ad_03,뉴스레터 수신,ALL
,,,,,ent_need_ad_04,온/오프라인 광고 확인,ALL
,,,ent_need_evt,이벤트/프로모션 인지,ent_need_evt_01,프로모션 페이지 노출,ALL
,,,,,ent_need_evt_02,기획전 페이지 노출,ALL
,,,ent_need_life,생활 속 니즈 인지 (라이프 이벤트),ent_need_life_01,스마트폰 교체 필요 인식,ALL
,,,,,ent_need_life_02,이사/독립 → 인터넷 가입 필요,ALL
,,,,,ent_need_life_03,해외 출장/여행 → 로밍 필요,ALL
,,,,,ent_need_life_04,자녀 폰 개통 필요,ALL
,ent_app,(T4S) 공식 앱/사이트 인입,ent_app_main,메인 화면 진입,ent_app_main_01,T월드 통합메인 진입,T월드
,,,,,ent_app_main_02,T멤버십 메인 진입,T멤버십
,,,,,ent_app_main_03,T다이렉트 메인 진입,T다이렉트
,,,,,ent_app_main_04,T우주 메인 진입,T우주
,,,ent_app_login,로그인/회원가입,ent_app_login_01,로그인,ALL(Digital)
,,,,,ent_app_login_02,회원가입,ALL(Digital)
,,,,,ent_app_login_03,아이디/비밀번호 찾기,ALL(Digital)
,,,,,ent_app_login_04,약관 동의,ALL(Digital)
,,,ent_app_auth,본인인증,ent_app_auth_01,SMS 인증,ALL(Digital)
,,,,,ent_app_auth_02,PASS 인증서 인증,ALL(Digital)
,,,ent_app_onboard,온보딩/초기설정,ent_app_onboard_01,온보딩 페이지 진입,ALL(Digital)
,,,,,ent_app_onboard_02,앱 권한 설정,ALL(Digital)
,,,,,ent_app_onboard_03,앱 업데이트,ALL(Digital)
,,,ent_app_global,외국인 서비스 인입,ent_app_global_01,English 서비스,ALL(Digital)
,,,,,ent_app_global_02,T로밍 서비스,T월드
,ent_store,(대리점/판매점) 방문,ent_store_find,매장 찾기,ent_store_find_01,내 위치 기반 매장 검색,T월드
,,,,,ent_store_find_02,매장 상세 검색,T월드
,,,,,ent_store_find_03,AS 센터 검색,T월드
